City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
barrow,71.29,-156.79,39.2,86,90,12.75,US,1598843119
atuona,-9.8,-139.03,78.96,79,38,25.99,PF,1598843113
conde,-7.26,-34.91,73.4,94,0,6.93,BR,1598843519
rikitea,-23.12,-134.97,69.46,82,27,17.07,PF,1598843107
hambantota,6.12,81.12,82.4,83,40,6.93,LK,1598843139
qasigiannguit,68.82,-51.19,39.2,69,0,2.37,GL,1598843122
hilo,19.73,-155.09,80.6,65,90,4.7,US,1598842845
tasiilaq,65.61,-37.64,44.6,65,100,5.82,GL,1598843162
boa vista,2.82,-60.67,75.2,94,90,5.82,BR,1598843424
ondo,7.1,4.83,69.6,99,98,2.24,NG,1598843521
asau,46.43,26.4,63.0,78,0,4.63,RO,1598843150
puerto ayora,-0.74,-90.35,64.99,83,97,10.0,EC,1598843112
provideniya,64.38,-173.3,51.8,62,90,17.9,RU,1598843350
hermanus,-34.42,19.23,39.99,90,0,12.5,ZA,1598843138
hobart,-42.88,147.33,52.0,52,40,10.29,AU,1598842893
belaya gora,68.53,146.42,53.56,47,33,12.39,RU,1598843186
khatanga,71.97,102.5,51.66,70,0,8.52,RU,1598842926
codrington,-38.27,141.97,51.1,65,78,9.73,AU,1598843259
xai-xai,-25.05,33.64,65.98,73,100,15.05,MZ,1598843522
buala,-8.14,159.59,86.11,72,86,8.66,SB,1598843152
clyde river,70.47,-68.59,42.8,100,20,5.82,CA,1598843107
mahebourg,-20.41,57.7,69.8,83,75,23.04,MU,1598843153
nanortalik,60.14,-45.24,44.73,85,100,3.29,GL,1598843131
shibukawa,36.48,139.0,90.0,54,45,3.0,JP,1598843523
albany,42.6,-73.97,57.0,98,0,3.44,US,1598842853
klaksvik,62.23,-6.59,48.2,100,84,12.75,FO,1598843185
kyra,49.58,111.98,54.03,91,100,1.21,RU,1598843524
ushuaia,-54.8,-68.3,30.2,92,90,20.8,AR,1598843111
diego de almagro,-26.37,-70.05,46.78,72,100,2.48,CL,1598843525
kununurra,-15.77,128.73,93.2,23,0,17.22,AU,1598843525
punta arenas,-53.15,-70.92,32.0,89,4,3.36,CL,1598843118
yerbogachen,61.28,108.01,62.33,54,0,7.23,RU,1598843526
menongue,-14.66,17.69,56.12,52,0,3.87,AO,1598843526
merrill,45.18,-89.68,62.6,72,1,6.93,US,1598843462
guerrero negro,27.98,-114.06,72.39,72,0,15.19,MX,1598843114
busselton,-33.65,115.33,64.0,63,8,1.99,AU,1598842899
vila franca do campo,37.72,-25.43,73.4,88,40,2.89,PT,1598843162
bredasdorp,-34.53,20.04,41.0,86,0,3.36,ZA,1598843133
khasan,42.43,130.64,65.28,84,100,13.89,RU,1598843527
playa del carmen,20.63,-87.08,81.0,88,20,3.36,MX,1598843462
kodiak,57.79,-152.41,60.8,51,1,18.34,US,1598843128
kangaatsiaq,68.31,-53.46,44.28,83,0,4.83,GL,1598843528
dajal,29.56,70.38,87.57,59,100,11.7,PK,1598843528
jamestown,42.1,-79.24,59.0,87,1,5.82,US,1598842845
nikolskoye,59.7,30.79,55.4,87,75,4.47,RU,1598843171
fortuna,40.6,-124.16,59.0,67,1,11.41,US,1598843062
tuktoyaktuk,69.45,-133.04,46.4,81,90,12.75,CA,1598842893
chuy,-33.7,-53.46,41.16,74,81,5.84,UY,1598843196
novyy urengoy,66.08,76.63,49.35,76,99,10.47,RU,1598843529
saldanha,-33.01,17.94,37.4,67,0,1.12,ZA,1598843123
capaci,38.17,13.24,82.0,83,0,2.24,IT,1598843530
severo-kurilsk,50.68,156.12,52.92,76,4,15.93,RU,1598843133
vung tau,10.35,107.08,84.65,73,81,7.2,VN,1598842988
port hedland,-20.32,118.57,96.8,8,29,14.99,AU,1598843104
lebu,-37.62,-73.65,45.88,79,1,21.16,CL,1598843134
bluff,-46.6,168.33,58.19,59,1,26.19,NZ,1598842947
kurchum,48.57,83.65,70.23,36,0,2.55,KZ,1598843531
butaritari,3.07,172.79,83.57,72,6,10.92,KI,1598843105
taklisah,36.78,10.63,80.6,74,20,10.29,TN,1598843531
thompson,55.74,-97.86,50.0,100,90,4.52,CA,1598843040
vaini,-21.2,-175.2,80.6,78,75,14.99,TO,1598843110
biak,-0.91,122.88,82.06,73,99,8.93,ID,1598843532
qaanaaq,77.48,-69.36,28.63,82,0,5.08,GL,1598843009
turukhansk,65.82,87.98,51.1,89,99,2.04,RU,1598843532
yellowknife,62.46,-114.35,51.8,57,20,8.05,CA,1598842842
saint-philippe,-21.36,55.77,68.0,72,42,5.82,RE,1598843139
castro,-24.79,-50.01,58.23,93,0,6.73,BR,1598842839
jacqueville,5.21,-4.41,75.2,94,20,8.05,CI,1598843470
mount gambier,-37.83,140.77,50.0,71,75,13.87,AU,1598843124
oudtshoorn,-33.59,22.2,39.2,80,0,4.7,ZA,1598843329
mataura,-46.19,168.86,61.68,47,0,15.21,NZ,1598843112
christchurch,-43.53,172.63,69.01,30,100,12.75,NZ,1598843407
