City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
castro,-24.79,-50.01,59.54,79,0,2.24,BR,1598654998
ushuaia,-54.8,-68.3,33.8,94,75,18.34,AR,1598654841
oranjestad,12.52,-70.03,86.0,74,40,18.34,AW,1598654998
souillac,-20.52,57.52,71.6,73,75,11.41,MU,1598654998
hasaki,35.73,140.83,86.0,84,20,5.82,JP,1598654998
jamestown,42.1,-79.24,75.99,83,75,5.82,US,1598654830
luderitz,-26.65,15.16,54.81,80,0,5.21,NA,1598654999
axim,4.87,-2.24,74.39,90,75,7.72,GH,1598654999
wodonga,-36.12,146.88,42.01,100,90,3.36,AU,1598654999
tuktoyaktuk,69.45,-133.04,51.8,62,20,11.41,CA,1598655000
taoudenni,22.68,-3.98,98.53,9,0,10.89,ML,1598655000
mataura,-46.19,168.86,45.0,72,25,11.01,NZ,1598655000
anage,-14.61,-41.14,72.36,65,94,7.11,BR,1598655000
dikson,73.51,80.55,48.45,81,80,6.31,RU,1598655001
qaanaaq,77.48,-69.36,40.08,88,100,4.27,GL,1598655001
huarmey,-10.07,-78.15,63.95,78,8,10.63,PE,1598655001
saint george,37.1,-113.58,102.2,10,1,17.22,US,1598654770
mehran,33.12,46.16,69.8,14,0,4.7,IR,1598655002
arman,59.7,150.17,53.6,51,96,14.58,RU,1598655002
albany,42.6,-73.97,75.99,75,66,3.13,US,1598654703
gornopravdinsk,60.05,69.9,51.76,88,94,4.43,RU,1598655003
bilma,18.69,12.92,92.52,33,40,7.56,NE,1598655003
nagua,19.38,-69.85,81.34,86,19,8.03,DO,1598655003
nikolskoye,59.7,30.79,57.2,87,40,4.47,RU,1598655004
hobart,-42.88,147.33,55.0,58,75,17.22,AU,1598654852
port alfred,-33.59,26.89,57.22,69,0,9.51,ZA,1598655004
kapaa,22.08,-159.32,84.2,70,20,10.29,US,1598655004
aripuana,-9.17,-60.63,85.37,51,67,4.45,BR,1598655004
torbay,47.67,-52.73,61.0,67,75,18.34,CA,1598654978
bethel,41.37,-73.41,80.6,54,1,3.2,US,1598655005
muros,42.78,-9.06,60.01,86,6,7.61,ES,1598655005
puerto ayora,-0.74,-90.35,66.16,83,43,10.38,EC,1598654956
east london,-33.02,27.91,60.31,67,46,3.13,ZA,1598655006
saldanha,-33.01,17.94,46.4,87,44,4.7,ZA,1598655006
tasiilaq,65.61,-37.64,42.8,81,100,2.15,GL,1598655006
nechi,8.09,-74.78,79.38,94,84,1.83,CO,1598655006
new norfolk,-42.78,147.06,55.0,63,100,4.0,AU,1598655007
cabo san lucas,22.89,-109.91,80.01,88,90,3.36,MX,1598654749
